Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Austin Dean (13056601),Austin Dean,13056601,OF,3100,MIN@MIA 08/01/2019 12:10PM ET,MIA,3.5
SS,Bryson Brigman (13056602),Bryson Brigman,13056602,SS,3100,MIN@MIA 08/01/2019 12:10PM ET,MIA,0
OF,Lane Adams (13056579),Lane Adams,13056579,OF,3100,SF@PHI 08/01/2019 01:05PM ET,PHI,0
OF,John Andreoli (13056580),John Andreoli,13056580,OF,3100,SF@PHI 08/01/2019 01:05PM ET,SF,0
OF,Michael Reed (13056583),Michael Reed,13056583,OF,3100,SF@PHI 08/01/2019 01:05PM ET,SF,0
OF,Luis Barrera (13056584),Luis Barrera,13056584,OF,3100,MIL@OAK 08/01/2019 03:37PM ET,OAK,0
C,Cameron Rupp (13056588),Cameron Rupp,13056588,C,3100,MIL@OAK 08/01/2019 03:37PM ET,OAK,0
OF/SS,Tyler Saladino (13056595),Tyler Saladino,13056595,SS/OF,3100,MIL@OAK 08/01/2019 03:37PM ET,MIL,3.21
3B,David Thompson (13056611),David Thompson,13056611,3B,3000,NYM@CWS 08/01/2019 02:10PM ET,NYM,0
OF,Austin Jackson (13056612),Austin Jackson,13056612,OF,3000,NYM@CWS 08/01/2019 02:10PM ET,NYM,0
SS,Gavin Cecchini (13056613),Gavin Cecchini,13056613,SS,3000,NYM@CWS 08/01/2019 02:10PM ET,NYM,0
OF,Rosell Herrera (13056618),Rosell Herrera,13056618,OF,3000,MIN@MIA 08/01/2019 12:10PM ET,MIA,2.81
3B,James Nelson (13056619),James Nelson,13056619,3B,3000,MIN@MIA 08/01/2019 12:10PM ET,MIA,0
OF,Drew Ferguson (13056603),Drew Ferguson,13056603,OF,3000,SF@PHI 08/01/2019 01:05PM ET,SF,0
2B/3B,Jesmuel Valentin (13056605),Jesmuel Valentin,13056605,2B/3B,3000,SF@PHI 08/01/2019 01:05PM ET,PHI,0
OF,Troy Stokes Jr. (13056604),Troy Stokes Jr.,13056604,OF,3000,MIL@OAK 08/01/2019 03:37PM ET,MIL,0
SS,Jorge Mateo (13056607),Jorge Mateo,13056607,SS,3000,MIL@OAK 08/01/2019 03:37PM ET,OAK,0
1B/2B,Corban Joseph (13056608),Corban Joseph,13056608,1B/2B,3000,MIL@OAK 08/01/2019 03:37PM ET,OAK,0
3B,Lucas Erceg (13056610),Lucas Erceg,13056610,3B,3000,MIL@OAK 08/01/2019 03:37PM ET,MIL,0
2B,Hernan Perez (13056617),Hernan Perez,13056617,2B,3000,MIL@OAK 08/01/2019 03:37PM ET,MIL,4.30
OF,Kevin Kaczmarski (13056630),Kevin Kaczmarski,13056630,OF,2900,NYM@CWS 08/01/2019 02:10PM ET,NYM,0
2B,Yolmer Sanchez (13056631),Yolmer Sanchez,13056631,2B,2900,NYM@CWS 08/01/2019 02:10PM ET,CWS,5.06
SS,Isan Diaz (13056626),Isan Diaz,13056626,SS,2900,MIN@MIA 08/01/2019 12:10PM ET,MIA,0
C,Sean Murphy (13056621),Sean Murphy,13056621,C,2900,MIL@OAK 08/01/2019 03:37PM ET,OAK,0
2B/OF,Nate Orf (13056624),Nate Orf,13056624,2B/OF,2900,MIL@OAK 08/01/2019 03:37PM ET,MIL,0
2B/3B,Cliff Pennington (13056632),Cliff Pennington,13056632,2B/3B,2900,MIL@OAK 08/01/2019 03:37PM ET,OAK,0
2B,Luis Carpio (13056641),Luis Carpio,13056641,2B,2800,NYM@CWS 08/01/2019 02:10PM ET,NYM,0
OF,Braxton Lee (13056645),Braxton Lee,13056645,OF,2800,NYM@CWS 08/01/2019 02:10PM ET,NYM,0
C,Tomas Telis (13056637),Tomas Telis,13056637,C,2800,MIN@MIA 08/01/2019 12:10PM ET,MIN,0
OF/SS,Phil Gosselin (13056638),Phil Gosselin,13056638,SS/OF,2800,SF@PHI 08/01/2019 01:05PM ET,PHI,1.94
OF,Corey Ray (13056634),Corey Ray,13056634,OF,2800,MIL@OAK 08/01/2019 03:37PM ET,MIL,0
OF,Tyrone Taylor (13056635),Tyrone Taylor,13056635,OF,2800,MIL@OAK 08/01/2019 03:37PM ET,MIL,0
1B,Casey Gillaspie (13056652),Casey Gillaspie,13056652,1B,2700,NYM@CWS 08/01/2019 02:10PM ET,CWS,0
OF/SS,Taylor Motter (13056648),Taylor Motter,13056648,SS/OF,2700,MIN@MIA 08/01/2019 12:10PM ET,MIN,0
C,Rob Brantly (13056650),Rob Brantly,13056650,C,2700,SF@PHI 08/01/2019 01:05PM ET,PHI,0
OF,Shane Robinson (13056651),Shane Robinson,13056651,OF,2700,SF@PHI 08/01/2019 01:05PM ET,PHI,0
2B/SS,Danny Espinosa (13056658),Danny Espinosa,13056658,2B/SS,2600,NYM@CWS 08/01/2019 02:10PM ET,NYM,0
OF,Blake Rutherford (13056660),Blake Rutherford,13056660,OF,2600,NYM@CWS 08/01/2019 02:10PM ET,CWS,0
OF,Luis Basabe (13056662),Luis Basabe,13056662,OF,2600,NYM@CWS 08/01/2019 02:10PM ET,CWS,0
SS,Luis Guillorme (13056663),Luis Guillorme,13056663,SS,2600,NYM@CWS 08/01/2019 02:10PM ET,NYM,1.29
OF,Jacob Pearson (13056661),Jacob Pearson,13056661,OF,2600,MIN@MIA 08/01/2019 12:10PM ET,MIN,0
OF,Cornelius Randolph (13056656),Cornelius Randolph,13056656,OF,2600,SF@PHI 08/01/2019 01:05PM ET,PHI,0
OF,Mickey Moniak (13056657),Mickey Moniak,13056657,OF,2600,SF@PHI 08/01/2019 01:05PM ET,PHI,0
2B/SS,Arismendy Alcantara (13056674),Arismendy Alcantara,13056674,2B/SS,2500,NYM@CWS 08/01/2019 02:10PM ET,NYM,0
SS,Laz Rivera (13056678),Laz Rivera,13056678,SS,2500,NYM@CWS 08/01/2019 02:10PM ET,CWS,0
OF,Brent Rooker (13056668),Brent Rooker,13056668,OF,2500,MIN@MIA 08/01/2019 12:10PM ET,MIN,0
SS,Royce Lewis (13056669),Royce Lewis,13056669,SS,2500,MIN@MIA 08/01/2019 12:10PM ET,MIN,0
OF,Gilberto Celestino (13056679),Gilberto Celestino,13056679,OF,2500,MIN@MIA 08/01/2019 12:10PM ET,MIN,0
1B/C,Matt McBride (13056666),Matt McBride,13056666,C/1B,2500,SF@PHI 08/01/2019 01:05PM ET,PHI,0
2B,Daniel Brito (13056670),Daniel Brito,13056670,2B,2500,SF@PHI 08/01/2019 01:05PM ET,PHI,0
OF,Austin Beck (13056671),Austin Beck,13056671,OF,2500,MIL@OAK 08/01/2019 03:37PM ET,OAK,0
OF,Jameson Hannah (13056672),Jameson Hannah,13056672,OF,2500,MIL@OAK 08/01/2019 03:37PM ET,OAK,0
OF,Greg Deichmann (13056673),Greg Deichmann,13056673,OF,2500,MIL@OAK 08/01/2019 03:37PM ET,OAK,0
SS,Brice Turang (13056677),Brice Turang,13056677,SS,2500,MIL@OAK 08/01/2019 03:37PM ET,MIL,0
SS,Luis Curbelo (13056689),Luis Curbelo,13056689,SS,2400,NYM@CWS 08/01/2019 02:10PM ET,CWS,0
OF,Alex Kirilloff (13056682),Alex Kirilloff,13056682,OF,2400,MIN@MIA 08/01/2019 12:10PM ET,MIN,0
2B/3B,Adam Rosales (13056686),Adam Rosales,13056686,2B/3B,2400,MIN@MIA 08/01/2019 12:10PM ET,MIN,0
C,Chris Gimenez (13056688),Chris Gimenez,13056688,C,2400,MIN@MIA 08/01/2019 12:10PM ET,MIN,0
2B/OF,Andrew Romine (13056683),Andrew Romine,13056683,2B/OF,2400,SF@PHI 08/01/2019 01:05PM ET,PHI,0
SS,Arquimedes Gamboa (13056685),Arquimedes Gamboa,13056685,SS,2400,SF@PHI 08/01/2019 01:05PM ET,PHI,0
OF,Victor Victor Mesa (13056696),Victor Victor Mesa,13056696,OF,2300,MIN@MIA 08/01/2019 12:10PM ET,MIA,0
